Project Number,MH Name,County,Street City State Zip,Lots,Approval Date,Primary Status,Owner Name
PRMZ001388,TARPON SHORES MOBILE VILLAGE,Pinellas,"40274 US 19 N, TARPON SPRINGS, FL 34689",2,08/31/2021,Approved,
PRMZ000792,BAYSIDE WATERS,Pinellas,"19709 US HWY 19 N, CLEARWATER, FL 33764",289,08/17/2026,Approved,
PRMZ000623,SAWGRASS TRAILS AT LOWE'S CITY,Pinellas,"5200 28TH ST N, ST. PETERSBURG, FL 33714",337,03/23/2020,Approved,
PRMZ000251,COLONY CO-OP INC,Pinellas,"7901 40 AVE N, ST. PETERSBURG, FL 33709",19,03/19/2025,Approved,
PRMZ001396,SUNNY GROVE MOBILE HOME PARK,Pinellas,"2463 GULF TO BAY BLVD, CLEARWATER, FL 33765",134,07/13/2023,Approved,
PRMZ000429,HONEYVINE MOBILE HOME PARK,Pinellas,"10365 ULMERTON ROAD, LARGO, FL 33771",101,05/14/2026,Approved,
PRMZ001543,SUN SEAIR MOBILE HOME PARK,Pinellas,"6372 126TH AVE N, LARGO, FL 33773",106,08/04/2025,Approved,
PRMZ000498,HILLSIDE MOBILE HOME PARK,Pinellas,"123 MCMULLEN BOOTH RD, CLEARWATER, FL 33759",68,02/20/2020,Approved,
PRMZ000555,ISLE OF PALMS MOBILE HOME PARK,Pinellas,"7400 46TH AVE N, ST. PETERSBURG, FL 33709",163,07/29/2025,Approved,
PRMZ000556,SHORELINE PALMS,Pinellas,"12100 SEMINOLE BLVD LOT 52, LARGO, FL 33778",402,12/11/2025,Approved,
PRMZ001565,KING'S MANOR ESTATES,Pinellas,"1399 S BELCHER RD, LARGO, FL 33771",350,11/16/2021,Approved,
PRMZ001608,SHANGRI-LA MOBILE HOME PARK,Pinellas,"249 JASPER ST, LARGO, FL 33770",160,05/24/2023,Approved,
PRMZ001610,ROBERT'S MOBILE HOME & RV RESORT INC,Pinellas,"3390 GANDY BLVD N, ST. PETERSBURG, FL 33702-2098",178,12/10/2025,Approved,CONNER LILLIAN M
PRMZ000572,LINCOLNSHIRE EST MOBILE HOME PARK,Pinellas,"1071 DONEGAN RD, LARGO, FL 33771",464,12/08/2022,Approved,RICKERT WAYNE C
PRMZ001687,TREASURE VILLAGE TRAILER PARK,Pinellas,"5151 4TH ST N, ST. PETERSBURG, FL 33703",150,07/22/2021,Approved,
PRMZ001689,TWIN LAKES LODGE,Pinellas,"2419 GULF TO BAY BLVD, CLEARWATER, FL 33765",214,05/12/2005,Approved,
PRMZ001690,BELLEAIR VILLAGE MOBILE HOME PARK,Pinellas,"1025 CLEARWATER-LARGO RD, LARGO, FL 33770",72,09/25/2001,Approved,"JOBANPUTRA, ATUL K. & KANTA K."
PRMZ000367,FAR HORIZON,Pinellas,"2580 NURSERY RD, CLEARWATER, FL 33764",88,02/03/2022,Approved,
PRMZ000387,GOLDEN CREST MOBILE HOME PARK,Pinellas,"800 MAIN ST, DUNEDIN, FL 34698",176,02/03/2022,Approved,
PRMZ000395,GLEN ELLEN,Pinellas,"2882 GULF TO BAY BLVD, CLEARWATER, FL 33759",106,08/29/2025,Approved,
PRMZ000399,GREEN MEADOWS MOBILE HOME PARK,Pinellas,"1799 SEMINOLE BLVD, LARGO, FL 34648",50,06/30/2021,Approved,
PRMZ000400,GRAND BAY,Pinellas,"3300 N ALTERNATE 19, DUNEDIN, FL 34698",140,09/16/2024,Approved,
PRMZ000419,GOLDEN ACRES MOBILE HOME PARK,Pinellas,"1040 MAIN ST, DUNEDIN, FL 34698",4,06/30/2009,Approved,
PRMZ000421,GULF TO BAY MOBILE HOME PARK,Pinellas,"2381 GULF TO BAY BLVD, CLEARWATER, FL 33765",71,08/01/2024,Approved,
PRMZ000430,HIGHLAND MHP,Pinellas,"3663 58TH AVE N, ST PETERSBURG, FL 33714",192,11/27/2001,Approved,
PRMZ001431,NEW RANCH MOBILE HOME PARK,Pinellas,"2291 GULF TO BAY BLVD, CLEARWATER, FL 33765",113,04/07/2026,Approved,
PRMZ001446,PALM GROVE VILLAGE MOBILE HOME PARK,Pinellas,"9204 66TH ST N, PINELLAS PARK, FL 33782",86,06/03/2020,Approved,"RICKERT, WAYNE, RICKERT, ALLAN, GOSS, JAMES PARTNERS"
PRMZ001477,MEADOWS MOBILE HOME PARK,Pinellas,"505 ANCLOTE BLVD, TARPON SPRINGS, FL 34689",329,03/09/2021,Approved,
PRMZ001487,3 SEASONS MOBILE HOME PARK,Hernando,"21253 YONTZ RD, BROOKSVILLE, FL 34601",125,11/04/2008,Approved,
PRMZ000443,HOLIDAY RANCH MOBILE HOME PARK,Pinellas,"4300 E BAY DR, CLEARWATER, FL 33764",150,07/05/2023,Approved,
PRMZ000446,HONEYMOON MOBILE HOME PARK,Pinellas,"1100 CURLEW RD, DUNEDIN, FL 34698",230,03/19/2026,Approved,
PRMZ000495,HILLCREST,Pinellas,"2346 DRUID RD, CLEARWATER, FL 33764",279,06/19/2023,Approved,
PRMZ000496,HICKORY POINT PARK,Pinellas,"1181 ANCLOTE RD, TARPON SPRINGS, FL 34689",35,10/22/1990,Approved,
PRMY002185,HARBOR HILL MOBILE HOME PARK,Pinellas,"1355 HARBOR HILL PARKWAY, SAFETY HARBOR, FL 34695-4154",26,10/01/1991,Approved,"DE NORIO, OKSANA"
PRMZ000316,EAST BAY OAKS,Pinellas,"601 STARKEY RD, LARGO, FL 33771",329,06/15/2023,Approved,
PRMZ000319,ELDORADO VILLAGE,Pinellas,"2505 EAST BAY DR, LARGO, FL 33771",227,06/16/2023,Approved,
PRMZ000323,EMBASSY MOBILE HOME PARK,Pinellas,"16416 US HWY19 N, CLEARWATER, FL 33764",460,04/11/2019,Approved,
PRMZ000333,FLORIDA MOBILE HOME PARK,Pinellas,"8667 SEMINOLE BLVD, SEMINOLE, FL 33772",48,09/12/2001,Approved,"GALLAGHER ROBERT F, TRUSTEE, ROBERT F GALLAGHER TRUST"
PRMZ000338,FRONTIER MOBILE PARK,Hernando,"15549 CORTEZ BLVD, BROOKSVILLE, FL 34613",66,10/11/2001,Approved,MCGIST INC
PRMZ000346,98 ESTATES,Hernando,"925 PONCE DE LEON BLVD, BROOKSVILLE, FL 34601",55,01/09/2025,Approved,
PRMZ001870,MOBILE MANOR MOBILE HOME PARK,Pinellas,"3503 58TH ST N, ST. PETERSBURG, FL 33714",110,09/25/2012,Approved,"GODDARD, JOHN AND ASSOCIATES INC"
PRMZ001894,SOUTHWIND MOBILE HOME PARK,Pinellas,"795 COUNTY RD 1, PALM HARBOR, FL 34683",213,07/06/2022,Approved,
PRMY003007,HICKORY GROVE MHP,Hernando,"1305 HOWELL AVE., BROOKSVILLE, FL 34601",20,10/19/2016,Approved,
PRMZ000020,AMERICAN WAY MOBILE HOME ESTATES,Pinellas,"730 14TH ST NW, LARGO, FL 33770",40,05/28/2021,Approved,
PRMZ001108,SILVER LAKE MOBILE HOME RESORT,Pinellas,"4000 - 24TH STREET NORTH, ST PETERSBURG, FL 33714",460,09/09/2022,Approved,
PRMZ000350,FOUR SEASONS ESTATES RESIDENT OWNED COMMUNITY,Pinellas,"13225 101 STREET, LARGO, FL 33773",171,08/29/2016,Approved,
PRMZ000358,FLORIDA SANDS MOBILE HOME PARK,Pinellas,"2701 50TH AVE N, ST PETERSBURG, FL 33714",31,02/15/2018,Approved,
PRMZ000366,FAIRHAVEN MOBILE HOME PARK,Pinellas,"5757 66TH ST N, ST. PETERSBURG, FL 33709",183,10/21/2022,Approved,
PRMZ000854,AVERY ACRES MOBILE HOME PARK,Pinellas,"3565 58TH AVE N, ST. PETERSBURG, FL 33714",47,09/08/2023,Approved,
PRMZ001131,TEAKWOOD VILLAGE,Pinellas,"801 MISSOURI AVENUE, LARGO, FL 33770",686,10/06/2023,Approved,HOULE FAMILY LIMITED PARTNERSHIP
PRMZ001146,OASIS PARK,Pinellas,"12766 SEMINOLE BLVD, LARGO, FL 33778",96,07/21/2017,Approved,
PRMZ000864,LA PLAZA MOBILE HOME PARK,Pinellas,"6700 150TH AVE N, CLEARWATER, FL 33764",335,03/25/2022,Approved,
PRMZ000039,BAY RANCH MOBILE VILLAGE,Pinellas,"7349 ULMERTON RD, LARGO, FL 33771",404,02/20/2020,Approved,BAY RANCH MOBILE VILLAGE LLP
PRMZ000056,BLUE HORIZON MOBILE HOME PARK,Pinellas,"5145 EAST BAY DRIVE, CLEARWATER, FL 33764",95,12/11/2023,Approved,
PRMZ002067,SOUTHERN SKIES MANOR,Pinellas,"540 SEMINOLE BLVD, LARGO, FL 33770",50,07/07/2010,Approved,
PRMZ002124,JOHN WESLEY MANOR MHP,Hernando,"8225 WESLEY DR, BROOKSVILLE, FL 34601",101,02/11/2002,Approved,WESLEYAN BIBLE CONFERENCE ASSOC INC
PRMZ002132,"SOUTH GATE MOBILE HOME PARK, A COOP",Pinellas,"20000 US HWY 19 N #809, CLEARWATER, FL 33765",27,02/20/2023,Approved,"SOUTH GATE HOMEOWNERS, INC."
PRMZ002536,COUNTRYSIDE VILLAGE MOBILE HOME PARK,Hernando,"9063 GETTIE DR, BROOKSVILLE, FL 34613",84,08/19/2014,Approved,
PRMZ000916,SUNSET PALMS MOBILE HOME PARK,Pinellas,"3401 GANDY BLVD, PINELLAS PARK, FL 33781",48,09/23/2024,Approved,
PRMZ001177,NORTH RIDGE MOBILE HOME COURT,Pinellas,"2424 50TH AVE N, ST. PETERSBURG, FL 33714",91,11/16/2020,Approved,
PRMZ001179,DONOVAN'S MOBILE HOME PARK,Pinellas,"16940 US 19 N, CLEARWATER, FL 33764",1,11/25/2014,Approved,
PRMZ001180,SOUTHERNAIRE MH RESORT,Pinellas,"2560 62ND AVE N, ST. PETERSBURG, FL 33702",169,08/14/2020,Approved,
PRMZ001181,PINELLAS CASCADES MOBILE HOME PARK,Pinellas,"7840 72ND ST N, PINELLAS PARK, FL 33781-1944",238,10/31/2023,Approved,
PRMY002593,COUNTRYSIDE MANOR,Pinellas,"1275 BELCHER ROAD, # 36, DUNEDIN, FL 34698",2,09/01/2010,Approved,
PRMZ000931,ST PETE SUN ESTATES 1,Pinellas,"5000 28TH ST N, ST. PETERSBURG, FL 33714",46,08/15/2022,Approved,
PRMZ000959,PINEWOOD VILLAGE,Pinellas,"10441 GANDY BLVD, ST. PETERSBURG, FL 33702",76,12/01/2022,Approved,
PRMZ001207,WEST BAY OAKS MOBILE HOME AND RV PARK,Pinellas,"1610 W BAY DR, LARGO, FL 33770",99,08/17/2026,Approved,
PRMZ001231,TWIN PALMS MANUFACTURED HOME COMMUNITY,Pinellas,"14300 66TH ST N, CLEARWATER, FL 33764",149,04/11/2024,Approved,
PRMZ001235,TWIN CITY MOBILE HOME PARK,Pinellas,"10636 GANDY BLVD, ST. PETERSBURG, FL 33702",101,03/18/2022,Approved,
PRMZ000641,LAKE HIGHLANDER MHP,Pinellas,"1500 COUNTY RD # 287, DUNEDIN, FL 34698",2,07/14/2014,Approved,
PRMZ002627,TARPON LAKEVIEW MOBILE HOME PARK,Pinellas,"37376 US 19 N, PALM HARBOR, FL 34684",160,02/28/2023,Approved,
PRMZ000119,CRYSTAL LAKE,Pinellas,"9301 49TH ST N, PINELLAS PARK, FL 33782",166,02/25/2020,Approved,
PRMZ000130,AMBER GLADES ESTATES,Pinellas,"3113 SR 580, SAFETY HARBOR, FL 34695",422,12/03/2025,Approved,LEISURE ASSOCIATES LP
PRMZ000139,BAY'S END MANOR MANUFACTURED HOME COMMUNITY,Pinellas,"3432 STATE RD 580, SAFETY HARBOR, FL 34695",188,12/09/2025,Approved,LEISURE ASSOCIATES LP
PRMZ000643,LAKE HAVEN,Pinellas,"1415 MAIN ST, DUNEDIN, FL 34698",378,06/21/2023,Approved,
PRMZ000664,OAK CREST/ACORN MANUFACTURED HOME COMMUNITY,Pinellas,"9925 ULMERTON RD, LARGO, FL 33771",654,12/09/2025,Approved,LEISURE ASSOCIATES LP
PRMZ002711,EL REY,Pinellas,"4600 67TH ST N, ST. PETERSBURG, FL 33709",11,01/28/2010,Approved,
PRMZ002782,SUNCOAST MOBILE MANOR,Pinellas,"7490 46TH AVENUE NORTH, ST PETERSBURG, FL 33709",59,02/02/2002,Approved,
PRMY003396,BUCKEYE TRAILER COURT,Pinellas,"1100 DONEGAN ROAD, LARGO, FL 33771",12,08/24/1994,Approved,"TOTH, JOHN C."
PRMZ001290,RIDGE MANOR CAMPGROUNDS,Hernando,"33456 CORTEZ ROAD, RIDGE MANOR, FL 33523",40,10/20/2016,Approved,
PRMZ001307,WESTGATE COMMUNITY,Pinellas,"14099 BELCHER RD, LARGO, FL 33771",263,09/13/2011,Approved,
PRMZ001308,WESTWIND I MOBILE HOME PARK,Pinellas,"3301 US HWY 19 N, DUNEDIN, FL 34698",45,07/22/2020,Approved,
PRMZ000175,CLOVER LEAF FARMS MOBILE HOME PARK,Hernando,"900 N BROAD ST, BROOKSVILLE, FL 34601",954,03/11/2026,Approved,
PRMZ000182,COUNTRY SIDE ESTATES,Pinellas,"27466 US 19 N, CLEARWATER, FL 33761",103,09/06/1995,Approved,
PRMZ000184,CLEARWATER CASCADE MOBILE HOME COMMUNITY,Pinellas,"9790 66TH ST N, PINELLAS PARK, FL 33782",15,07/01/2025,Approved,
PRMZ000192,PELICAN PALMS VILLAGE,Pinellas,"2701 34 ST N, ST. PETERSBURG, FL 33713",286,06/24/2022,Approved,
PRMY002751,TWIN LAKE MOBILE HOME PARK,Pinellas,"6401 SEMINOLE BLVD, SEMINOLE, FL 33772",24,08/18/1992,Approved,
PRMZ000977,POINTE WEST RESIDENT OWNED COMMUNITY,Pinellas,"12651 SEMINOLE BLVD LOT 5L, LARGO, FL 33778",206,06/18/2013,Approved,
PRMZ000979,SHADY LANE OAKS,Pinellas,"15777 BOLESTA RD # 174, CLEARWATER, FL 33760",250,06/26/2023,Approved,
PRMZ000998,WHISPERING PINES MOBILE HOME PARK,Pinellas,"7501 142ND AVE N, LARGO, FL 33771",392,06/29/2023,Approved,
PRMZ000221,CARDINAL COURT MOBILE HOME COMMUNITY,Pinellas,"10545 SEMINOLE BLVD, LARGO, FL 33778",139,02/17/2026,Approved,
PRMZ000744,LAKE BON BON MOBILE HOME PARK,Pinellas,"6190 62ND AVE N, PINELLAS PARK, FL 33781",79,03/30/2021,Approved,
PRMZ001007,SERENDIPITY MOBILE HOME PARK,Pinellas,"29081 US HWY 19 N # 400, CLEARWATER, FL 33761",256,07/12/2023,Approved,
PRMZ001322,WEEKI WACHEE NORTH,Hernando,"10401 AMITY AVE, BROOKSVILLE, FL 34614",182,10/14/2024,Approved,
PRMZ000759,ROMANY PARK SOUTH,Pinellas,"370 53RD AVE N, ST. PETERSBURG, FL 33703",85,08/14/2025,Approved,
PRMZ001777,RANCHERO VILLAGE MOBILE HOME PARK,Pinellas,"7100 ULMERTON RD, LARGO, FL 33771",946,06/26/2025,Approved,
PRMZ001794,BELLE HAVEN MOBILE HOME PARK,Pinellas,"27554 US HWY 19 N, CLEARWATER, FL 33761",65,01/22/2026,Approved,
PRMZ002977,TROPICAL GARDENS MHP,Pinellas,"4061-58 AVENUE NORTH, ST PETERSBURG, FL 33714",65,08/29/2001,Approved,
PRMY001920,PARK LAWN TP,Pinellas,"5230 PARK BLVD, PINELLAS PARK, FL 33781",20,05/22/2025,Approved,
PRMZ000249,CONRAD MOBILE PARK,Pinellas,"9333 PARK BLVD, SEMINOLE, FL 33777",55,05/06/2026,Approved,
PRMZ001830,RIVIERA ESTATES,Pinellas,"29141 US 19 N, CLEARWATER, FL 33761",171,03/05/2021,Approved,
PRMY002888,TALL OAKS VILLAGE,Hernando,"11811 BROAD ST # O, BROOKSVILLE, FL 34601",37,06/12/2024,Approved,
PRMZ003062,COUNTRYSIDE ESTATES ROC,Hernando,"7001 TALL OAK LN, BROOKSVILLE, FL 34601",15,06/30/2014,Approved,
PRMZ003090,SUNNY ACRES TP,Pinellas,"4025 46TH AVE N, ST. PETERSBURG, FL 33714-2909",32,10/15/2008,Approved,
PRMZ000283,DORAL VILLAGE,Pinellas,"29250 US HWY 19 N, CLEARWATER, FL 33761",271,08/17/2026,Approved,DORAL RO ASSOCIATION INC
PRMZ000285,DISSTON MOBILE HOME PARK,Pinellas,"4001 49TH ST N, ST PETERSBURG, FL 33709-5751",59,02/03/2022,Approved,
PRMZ000296,DOWN YONDER,Pinellas,"7001 142 AVE N, LARGO, FL 33771",362,07/06/2023,Approved,
PRMZ000764,BELMONT MOBILE HOME PARK,Pinellas,"901 BELLEAIR RD, CLEARWATER, FL 33756",36,04/06/2021,Approved,
PRMZ000767,KEYSTONE TP,Pinellas,"620 CLEARWATER LARGO RD, LARGO, FL 33770",28,02/11/1999,Approved,
PRMZ001049,COTTAGE COVE,Pinellas,"1280 LAKEVIEW RD, CLEARWATER, FL 33516",113,08/19/2021,Approved,
PRMZ001057,SHADY LANE VILLAGE,Pinellas,"15777 BOLESTA RD, CLEARWATER, FL 33760",155,06/28/2023,Approved,
PRMZ001058,VAGABOND MHP,Pinellas,"7570 46TH AVE N, ST PETERSBURG, FL 33709",133,08/04/1998,Approved,
PRMZ001064,BAY SHORE COVE,Pinellas,"403 RIVERSIDE DR, TARPON SPRINGS, FL 34689",62,11/05/1997,Approved,
PRMZ001375,SUNSHINE MOBILE HOME PARK,Pinellas,"7403 46TH AVE N, ST. PETERSBURG, FL 33709",243,06/24/2022,Approved,
PRMZ001386,TARPON GLEN,Pinellas,"1038 SPARROW LN, TARPON SPRINGS, FL 34689",168,09/06/2024,Approved,
PRMY001979,LA TROPICAL OAKS,Pinellas,"5101 SEMINOLE BLVD, ST. PETERSBURG, FL 33708",19,06/22/2009,Approved,
PRMZ000800,LAKESIDE MOBILE MANOR,Hernando,"1020 LAKESIDE DR., BROOKSVILLE, FL 34601",33,10/19/2001,Approved,
PRMZ001092,SUGAR CREEK MH COMMUNITY,Pinellas,"10265 ULMERTON ROAD, LARGO, FL 33771",250,06/11/2026,Approved,SUGAR CREEK DEVELOPMENT LLC
PRMZ001094,SUN VILLAGE MOBILE HOME PARK,Pinellas,"12300 SEMINOLE BLVD, LARGO, FL 33778",84,02/27/2025,Approved,
PRMZ001581,MELODY GARDENS MHP,Pinellas,"7803 46TH AVE N, ST PETERSBURG, FL 33709",24,12/31/1992,Approved,
PRMZ000500,SAWGRASS LAKE ESTATES,Pinellas,"3035 66TH AVE N, ST. PETERSBURG, FL 33702",135,08/17/2026,Approved,
PRMZ000550,IMPERIAL ESTATES MOBILE HOME PARK,Hernando,"4182 ANGELICA AVE, BROOKSVILLE, FL 34601",112,05/08/2026,Approved,IMPERIAL ESTATES INC
PRMZ000553,PARADISE ISLAND,Pinellas,"1001 STARKEY RD, LARGO, FL 33771",460,07/23/2019,Approved,
PRMZ001022,OAKWOOD MOBILE HOME ESTATES,Pinellas,"3801 58TH AVE N, ST. PETERSBURG, FL 33714",61,09/20/2019,Approved,
PRMZ000647,MARINER'S COVE MOBILE HOME PARK,Pinellas,"5796 ULMERTON RD, CLEARWATER, FL 33760",96,01/03/2023,Approved,
PRMZ000774,DUNEDIN VILLAGE,Pinellas,"77 LONE PINE AVE, DUNEDIN, FL 34698",128,02/03/2025,Approved,
PRMZ000868,MOBEL AMERICANA DBA AMERICANA COVE,Pinellas,"7201 FIRST ST NE, ST PETERSBURG, FL 33702",137,07/14/2022,Approved,
PRMZ000909,VILLAGE GREEN MOBILE HOME PARK,Pinellas,"2001 83RD AVE N, ST. PETERSBURG, FL 33702",576,12/03/2004,Approved,
PRMZ001216,BOULEVARD ESTATES,Pinellas,"2266 GULF TO BAY BLVD, CLEARWATER, FL 33765",169,09/17/2020,Approved,
PRMZ001229,PINE RIDGE COURT,Pinellas,"7505 US 19 N, PINELLAS PARK, FL 33780",46,09/15/2000,Approved,
PRMZ001236,REGAL PARK INC,Pinellas,"2141 RIDGE RD SW, LARGO, FL 33778",92,04/04/2014,Approved,REGAL PARK INC
PRMZ001346,ORANGE LAKE MOBILE HOME PARK,Pinellas,"12344 SEMINOLE BLVD, LARGO, FL 33778",36,12/05/2025,Approved,
PRMZ001349,TWELVE OAKS MOBILE HOME PARK,Pinellas,"10999 74TH AVE N, SEMINOLE, FL 33772",91,07/26/2017,Approved,TWELVE OAKS FAMILY PTNRSP
PRMZ001606,ROMANY PARK NORTH,Pinellas,"370 53RD AVE N, ST. PETERSBURG, FL 33703",98,08/14/2025,Approved,
PRMZ001735,PARKWOOD ESTATES,Pinellas,"2900 GULF TO BAY BLVD # 225, CLEARWATER, FL 33759",2,01/26/2010,Approved,
PRMZ001873,CHESAPEAKE POINT MOBILE HOME PARK,Pinellas,"800 CHESAPEAKE DR, TARPON SPRINGS, FL 34689",9,06/15/2016,Approved,
PRMZ000354,BIG TREE MOBILE HOME PARK,Hernando,"6130 BROAD ST, BROOKSVILLE, FL 34601",96,08/11/2023,Approved,
PRMZ000413,GATEWAY MOBILE HOME PARK,Pinellas,"10100 GANDY BLVD N, ST. PETERSBURG, FL 33716",337,11/02/2023,Approved,
PRMY002056,STAR TRAILER CT,Pinellas,"3043 58TH AVE N, ST. PETERSBURG, FL 33714",22,05/03/2022,Approved,
PRMY002076,RIVER OAKS RV TRAVEL PARK,Hernando,"22329 CORTEZ BLVD, BROOKSVILLE, FL 34601",16,11/16/2020,Approved,
PRMY002265,PRESERVE AT INDIAN ROCKS,Pinellas,"15004 113 AVE N, LARGO, FL 33774",20,02/25/2022,Approved,
PRMZ002127,SAFETY HARBOR MOBILE HOME PARK,Pinellas,"1025 PHILIPPE PKWY, SAFETY HARBOR, FL 34695",49,12/20/2021,Approved,
PRMZ002692,PARADISE WEST MOBILE HOME PARK,Pinellas,"12260 SEMINOLE BLVD, LARGO, FL 33778",29,02/26/2026,Approved,
PRMZ001555,KING OF THE ROAD MHP,Pinellas,"5701 HAINES ROAD NORTH, ST PETERSBURG, FL 33714",56,07/28/2004,Approved,RESIDENTIAL DEVELOPMENT CORPORATION
PRMZ001309,WESTWIND II ROC,Pinellas,"3301 ALT US 19 N, DUNEDIN, FL 34698",39,10/05/2018,Approved,
PRMZ000185,COACH MOBILE HOME PARK,Pinellas,"2491 NURSERY RD, CLEARWATER, FL 33764",51,07/19/2010,Approved,
PRMZ000821,SEMINOLE MOBILE HOME PARK,Pinellas,"5015 SEMINOLE BLVD, ST. PETERSBURG, FL 33708-3377",78,03/01/2022,Approved,
PRMZ000398,BOULEVARD MOBILE HOME ESTATES II,Pinellas,"2236 GULF TO BAY BLVD, CLEARWATER, FL 33765",118,11/10/2011,Approved,
PRMZ001100,SUN COUNTRY MHP,Pinellas,"799 E KLOSTERMAN RD, TARPON SPRINGS, FL 34689",121,10/14/2010,Approved,
PRMZ000205,CENTURY MOBILE MANOR,Pinellas,"6735 54TH AVE N, ST PETERSBURG, FL 33709",86,09/15/2004,Approved,
PRMZ000477,HARBOR LIGHTS CLUB MOBILE HOME PARK,Pinellas,"9191 BAY PINES BLVD, ST. PETERSBURG, FL 33708",308,08/02/2022,Approved,
PRMZ000372,GROSSE POINTE ESTATES,Pinellas,"9900 ULMERTON RD, LARGO, FL 33771-4302",1,06/30/2015,Approved,
PRMZ000523,WINDWARD VILLAGE,Hernando,"6291 WINDWARD BLVD, SPRING HILL, FL 34607",255,12/13/2024,Approved,
PRMZ000551,INDIAN ROCKS MHP,Pinellas,"12701 126TH AVE N, LARGO, FL 33774",83,09/29/2008,Approved,
PRMZ001345,STAR-LITE MOBILE PARK,Pinellas,"11630 HAMLIN BLVD, LARGO, FL 33774",75,08/06/2026,Approved,
PRMZ000494,HIGH POINT VILLAGE MOBILE HOME PARK,Pinellas,"6030 150TH AVE N, CLEARWATER, FL 33760",114,08/08/2001,Approved,"RICKERT, WAYNE, RICKERT, ALLAN, GOSS, JAMES PARTNERS"
PRMZ000841,TANGERINE TP,Pinellas,"1616-21 STREET SOUTH, ST. PETERSBURG, FL 33712",65,05/27/2003,Approved,
PRMZ001087,SUN TERRACE MOBILE HOME PARK,Pinellas,"5860 150TH AVE N, CLEARWATER, FL 33760",67,09/03/2021,Approved,
PRMZ000154,CAUSEWAY VILLAGE,Pinellas,"1375 PASADENA AVE S, SOUTH PASADENA, FL 33707",227,10/02/2025,Approved,
PRMZ001850,LAKEVIEW TRAILER PARK,Pinellas,"9753 SEMINOLE BLVD, SEMINOLE, FL 33772",73,06/30/2007,Approved,
PRMZ003201,FOREST GLENN RETIREMENT VILLAGE,Hernando,"1431 FRIAR TUCK LANE, SPRING HILL, FL 34607",17,09/14/2022,Approved,
